id,value,feed_id,created_at,lat,lon,ele
0EX0Y3RRAXXR3GCQBMRZQA0G5Y,23.168945,1762831,2021-12-09 14:36:19 UTC,,,
0EX0Y3WP3MSX9B2J8ZQWR8VDNM,23.344725,1762831,2021-12-09 14:36:32 UTC,,,
0EX0Y43VTTEH4EDZP7NAW9HJT0,23.65234,1762831,2021-12-09 14:36:55 UTC,,,
0EX0Y47B9DPC32VJWXB2TM7J42,23.784178,1762831,2021-12-09 14:37:06 UTC,,,
0EX0Y4CF42M5BTJ3PPT0QAM43B,23.784178,1762831,2021-12-09 14:37:23 UTC,,,
0EX0Y4TTC961HHJG374Q3114Q9,26.20117,1762831,2021-12-09 14:38:10 UTC,,,
0EX0Y4XB3K4S3WXR79MDK6RT0R,26.333004,1762831,2021-12-09 14:38:19 UTC,,,
0EX0Y759KNPGSM1ANX8VQH8FJT,24.179686,1762831,2021-12-09 14:42:14 UTC,,,
0EX0Y7ABYVPABQDRRTY1781MGS,28.178709,1762831,2021-12-09 14:42:31 UTC,,,
0EX0Y7GM3PDTT4WM6QP9F266RH,29.277344,1762831,2021-12-09 14:42:51 UTC,,,
0EX0Y7Z3K133VF9M7WP32WC2RE,30.02441,1762831,2021-12-09 14:43:39 UTC,,,
0EX0Y81XZTQ4F7AR824JDS8E44,30.15625,1762831,2021-12-09 14:43:48 UTC,,,
0EX0Y876WGGT5Z1R9C7E0YF6JE,30.419922,1762831,2021-12-09 14:44:05 UTC,,,
0EX0Y89HEWBKKDFC0MXRBJ7HB5,30.507809,1762831,2021-12-09 14:44:13 UTC,,,
0EX0Y8MN89S505WF9Y28PDCDHQ,30.771482,1762831,2021-12-09 14:44:50 UTC,,,
0EX0Y8S4FABE6Z4RR7NHTK9MBT,31.123043,1762831,2021-12-09 14:45:04 UTC,,,
0EX0Y8TZTKJHYRNM9GWF5CAAJA,31.430662,1762831,2021-12-09 14:45:10 UTC,,,
0EX0Y8YHT1GRHRW87F6KYYR8WF,31.210936,1762831,2021-12-09 14:45:22 UTC,,,
0EX0Y922M41714E3R0ARWF05W6,30.507809,1762831,2021-12-09 14:45:33 UTC,,,
0EX0Y92JM28FE23NY7T40M3KQT,30.332029,1762831,2021-12-09 14:45:35 UTC,,,
0EX0Y933AAMC8WMA37Z8BWDYW4,30.200195,1762831,2021-12-09 14:45:37 UTC,,,
0EX0Y9628FTBMMMTZ3HK9WD9JM,29.892576,1762831,2021-12-09 14:45:47 UTC,,,
0EX0Y96Y7APAXZCYFCNATR1669,29.892576,1762831,2021-12-09 14:45:49 UTC,,,
0EX0Y98NBGJ5VZD1NFBD6F63M6,29.848629,1762831,2021-12-09 14:45:55 UTC,,,
0EX0YBVNMZ5DMV8NZG9VW9VS1Q,23.784178,1762831,2021-12-09 14:50:27 UTC,,,
0EX0YBW5VA30250M40GVNAR74F,23.828125,1762831,2021-12-09 14:50:29 UTC,,,
0EX0YBWQF7VTYGPC126ZFH96YA,23.784178,1762831,2021-12-09 14:50:31 UTC,,,
0EX0Y2V3N2G0YR72QYS1Y7HJVA,22.685545,1762837,2021-12-09 14:34:42 UTC,,,
0EX0YD3YZ1P2AATE8ZY7TV0YH8,24.179686,1762837,2021-12-09 14:52:39 UTC,,,
0EX0YD5AHP6WE4QYG9PZBSRCBM,24.179686,1762837,2021-12-09 14:52:44 UTC,,,
0EX0YD7FY8WXHRAQ1ZV5Z4JCGK,26.596678,1762837,2021-12-09 14:52:51 UTC,,,
0EX0YD8KKEZT6R268YV026BX55,28.35449,1762837,2021-12-09 14:52:54 UTC,,,
